ticker;preco;dy;pl;pvp;roe;roa;roic;margem_bruta;margem_ebit;margem_liquida;liquidez_corrente;vpa;lpa;liquidez_diaria;valor_mercado
MGEL3;74,10;;-17,11;45,99;-268,83;-3,22;5,97;12,07;5,68;-2,59;1,56;1,61;-4,33;0,00;167.860.783,85
MGEL4;3,95;;-0,91;2,45;-268,83;-3,22;5,97;12,07;5,68;-2,59;1,56;1,61;-4,33;11.265,82;167.860.783,85
MGLU3;9,24;3,3;15,75;0,6;3,82;1,22;7,92;30,75;4,29;1,14;1,2;15,37;0,59;255.416.541,18;6.828.316.091,52
MILS3;11,49;4,38;9,44;1,81;19,17;7,32;12,79;62,94;32,97;17,44;2,17;6,35;1,22;7.341.706,91;2.690.707.598,43
MLAS3;1,08;;-4,72;0,3;-6,35;-3,55;-1,6;23,46;0,41;-5,48;2,11;3,6;-0,23;1.407.010,00;886.182.363,00
MMXM3;14,00;;-2,17;-0,11;-4,97;-32,75;0,28;;;;0,01;-129,88;-6,46;;90.834.562,00
MNDL3;19,00;;72,5;1,18;1,62;0,18;18,95;37,67;12,68;0,26;0,81;16,14;0,26;36.375,63;188.499.760,00
MNPR3;25,90;;12,67;-0,61;-4,83;3,81;-14,64;27,57;14,21;4,0;0,37;-42,32;2,04;33.691,90;183.892.590,00
MOAR3;140,00;35,86;-21,14;1,73;-8,19;-3,83;-22,8;;;;6,12;80,88;-6,62;67.680,58;1.715.170.940,00
MODL11;8,46;;-27,27;1,66;-6,1;-0,97;;50,83;-5,11;-5,48;;5,09;-0,31;;1.985.844.000,00
MODL3;3,08;;-29,78;1,82;-6,1;-0,97;;50,83;-5,11;-5,48;;1,7;-0,1;;1.985.844.000,00
MODL4;2,72;;-26,3;1,6;-6,1;-0,97;;50,83;-5,11;-5,48;;1,7;-0,1;;1.985.844.000,00
MOSI3;8,24;;2,17;0,14;6,38;0,74;;0,0;0,0;3,42;;59,43;3,79;;1.043.149.227,20
MOTV3;13,91;2,23;19,34;1,98;10,23;2,32;9,27;35,79;27,17;6,7;1,81;7,03;0,72;68.510.453,59;28.098.200.000,00
MOVI3;6,81;2,61;9,06;0,91;10,02;0,89;11,9;30,15;19,78;1,86;0,87;7,49;0,75;48.419.528,91;2.369.413.283,46
MRFG3;22,25;12,69;6,77;6,78;100,15;2,08;4,4;13,08;4,04;1,8;1,22;3,28;3,29;132.046.155,36;19.088.900.647,75
MRSA3B;28,80;3,31;7,04;1,26;17,84;6,75;11,77;42,81;35,08;19,59;1,67;22,93;4,09;3.417,14;9.160.824.238,80
MRSA5B;25,00;4,19;6,11;1,09;17,84;6,75;11,77;42,81;35,08;19,59;1,67;22,93;4,09;1.250,00;9.160.824.238,80
MRSA6B;25,50;4,11;6,23;1,11;17,84;6,75;11,77;42,81;35,08;19,59;1,67;22,93;4,09;0,00;9.160.824.238,80
MRVE3;6,30;;-5,12;0,59;-11,55;-2,41;0,97;27,02;3,64;-7,38;1,47;10,65;-1,23;63.596.071,95;3.545.808.027,30
MSPA3;47,00;;;0,36;0,0;0,0;1,69;36,17;17,51;-0,02;0,76;130,46;-0,01;0,00;292.756.110,20
MSPA4;36,30;;;0,28;0,0;0,0;1,69;36,17;17,51;-0,02;0,76;130,46;-0,01;0,00;292.756.110,20
MSRO3;702,50;;;272,5;-5,18;-1,25;7,47;31,13;15,29;-2,38;0,65;2,58;-0,13;;18.271.898.550,00
MTIG3;0,00;;0,0;0,0;-725,28;-74,53;-104,33;-16,12;-64,07;-113,09;0,27;-0,06;-0,46;;3.700.608,00
MTIG4;23,00;;-49,52;-359,15;-725,28;-74,53;-104,33;-16,12;-64,07;-113,09;0,27;-0,06;-0,46;;3.700.608,00
MTRE3;4,12;11,44;7,34;0,44;5,95;2,67;4,24;24,83;8,32;5,06;2,45;9,43;0,56;2.008.683,50;435.792.258,40
MTSA3;76,00;3,29;18,18;1,44;7,91;6,63;4,72;23,76;7,29;7,06;5,36;52,86;4,18;7.533,33;520.954.044,00
MTSA4;43,87;6,27;10,49;0,83;7,91;6,63;4,72;23,76;7,29;7,06;5,36;52,86;4,18;166.408,59;520.954.044,00
MULT3;27,23;4,1;10,68;2,43;22,76;10,36;13,86;82,84;67,34;51,35;1,41;11,2;2,55;80.476.658,77;13.973.447.578,23
MWET3;13,00;;1,03;1,35;131,35;8,52;52,87;5,77;21,95;9,68;0,79;9,64;12,66;1.271,33;26.191.518,18
MWET4;12,59;;0,99;1,31;131,35;8,52;52,87;5,77;21,95;9,68;0,79;9,64;12,66;5.466,55;26.191.518,18
MYPK3;13,40;4,36;9,14;0,48;5,23;1,47;7,68;12,0;6,62;1,44;1,61;28,02;1,47;9.628.479,73;2.059.842.653,40
NAFG3;64,37;;11,8;2,76;23,42;9,77;15,89;41,15;16,49;9,34;2,52;23,3;5,46;;508.315.292,42
NAFG4;19,02;;3,49;0,82;23,42;9,77;15,89;41,15;16,49;9,34;2,52;23,3;5,46;;508.315.292,42
NEMO3;0,00;;0,0;0,0;-2,55;-0,19;10,52;40,54;31,09;-0,59;2,62;16,57;-0,42;;0,00
NEMO4;0,00;;0,0;0,0;-2,55;-0,19;10,52;40,54;31,09;-0,59;2,62;16,57;-0,42;;0,00
NEMO5;52,97;;-125,37;3,2;-2,55;-0,19;10,52;40,54;31,09;-0,59;2,62;16,57;-0,42;;0,00
NEMO6;0,00;;0,0;0,0;-2,55;-0,19;10,52;40,54;31,09;-0,59;2,62;16,57;-0,42;;0,00
NEOE3;25,96;3,19;8,98;0,93;10,38;3,2;10,37;26,86;19,89;7,07;1,13;27,85;2,89;21.204.776,27;31.510.176.558,08
NEXP3;3,78;;0,1;-0,2;-197,32;276,02;-236,08;43,77;132,33;112,43;0,53;-19,02;37,54;2.168,37;10.038.050,82
NGRD3;25,50;;-7,48;0,52;-6,96;-5,22;-9,88;58,7;-14,88;-11,31;2,54;49,01;-3,41;161.731,95;233.094.072,00
NORD3;6,11;;-4,7;-0,25;-5,23;-44,52;0,3;91,57;-15,06;-344,09;0,01;-24,87;-1,3;6.735,00;40.457.279,46
NRTQ3;0,00;;0,0;0,0;4,01;2,42;3,53;23,71;5,83;4,4;4,43;20,07;0,81;;0,00
NTCO3;10,82;;-1,83;0,99;-53,96;-23,17;0,61;65,54;4,1;-33,03;1,53;10,98;-5,93;66.820.521,19;14.872.713.848,74
NUTR3;3,54;;8,34;1,1;13,17;5,07;19,52;17,76;7,05;2,88;1,81;3,22;0,42;11.627,05;46.885.176,00
ODER3;0,00;;0,0;0,0;7,5;3,63;4,62;28,7;8,15;5,61;3,33;48,79;3,66;;
ODER4;97,78;0,36;26,72;2,0;7,5;3,63;4,62;28,7;8,15;5,61;3,33;48,79;3,66;0,00;
