ticker;preco;dy;pvp;valor_patrimonial;liquidez_diaria;percentual_caixa;patrimonio;num_cotistas;gestao
TEPP11;80,91;12,83;0,84;96,65;;6,03;;;Ativa
TFOF11;138,00;0,0;2,16;63,81;;3,5;;;
TGAR11;91,55;14,07;0,82;112,1;;0,85;;;Ativa
THRA11;138,50;0,0;2,17;63,81;;3,5;;;
TJKB11;249,72;14,18;0,95;264,2;;2,42;;302,0;Ativa
TMPS11;82,67;14,39;0,88;93,81;;2,68;;;Ativa
TOPP11;70,15;9,38;0,71;98,36;;0,51;;;Ativa
TORD11;3,39;1,93;0,57;5,96;;1,58;;;Ativa
TORM13;142,00;0,0;2,23;63,81;;3,5;;;
TOUR11;8,80;0,0;0,14;63,81;;3,5;;;
TRBL11;58,89;13,5;0,68;87,08;;2,88;;;Ativa
TRNT11;96,00;0,0;0,54;176,37;;1,72;;546,0;
TRXB11;137,20;15,86;1,3;105,58;;3,97;;450,0;Passiva
TRXF11;101,00;13,18;0,98;102,61;;3,14;;;Ativa
TRXY11;9,77;8,6;1,05;9,31;;5,12;;620,0;Ativa
TSER11;100,80;11,5;1,03;98,17;100,0;2,56;;20,0;Ativa
TSNC11;82,50;0,0;1,03;79,94;56,0;7,77;;101,0;Ativa
TSNM11;0,00;0,0;;63,81;;3,5;;;
TVRI11;94,03;12,83;0,93;101,51;;3,46;;;Ativa
URHF11;89,99;16,95;0,94;96,19;;11,11;;178,0;Ativa
URPR11;40,01;23,99;0,4;100,5;;0,74;;;Ativa
VCHG11;0,00;0,0;;63,81;;3,5;;;
VCJR11;79,65;14,63;0,85;94,2;;11,66;;;Ativa
VCRI11;7,42;14,62;0,79;9,43;;5,22;;;Ativa
VCRR11;65,00;10,15;0,51;127,12;;2,49;;;Ativa
VCTH11;0,00;0,0;;96,59;;1,98;;62,0;
VDSV11;0,00;0,0;;972,74;;2,51;;84,0;Ativa
VERE11;100.435,63;0,03;197,34;508,96;;3,18;;112,0;Ativa
VGHF11;7,75;13,94;0,91;8,55;;1,4;;;Ativa
VGII11;101,41;8,52;1,06;95,99;;9,16;;3,0;Passiva
VGIP11;84,76;13,63;0,94;90,18;;2,85;;;Ativa
VGIR11;9,75;13,43;1,0;9,76;;3,1;;;Ativa
